uri,pref label,label,comment,domain,domain > uri,range,range > uri,sub class of,sub class of > uri,type,type > uri
http://education.data.gov.uk/def/school/,,core schools ontology,Ontology of school descriptions and classifications for EDUBase data,,,,,,,,http://www.w3.org/2002/07/owl#Ontology
http://education.data.gov.uk/def/school/ASCHighestAge,,ASC highest age,,School,http://education.data.gov.uk/def/school/School,int,http://www.w3.org/2001/XMLSchema#int,,,,http://www.w3.org/2002/07/owl#DatatypeProperty
http://education.data.gov.uk/def/school/ASCLowestAge,,ASC lowest age,,School,http://education.data.gov.uk/def/school/School,int,http://www.w3.org/2001/XMLSchema#int,,,,http://www.w3.org/2002/07/owl#DatatypeProperty
http://education.data.gov.uk/def/school/AdmissionsPolicy_Comprehensive,Comprehensive,Comprehensive,,,,,,,,,http://education.data.gov.uk/def/school/AdmissionsPolicy_TERM
http://education.data.gov.uk/def/school/AdmissionsPolicy_Comprehensive,Comprehensive,Comprehensive,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/AdmissionsPolicy_Modern,Modern,Modern,,,,,,,,,http://education.data.gov.uk/def/school/AdmissionsPolicy_TERM
http://education.data.gov.uk/def/school/AdmissionsPolicy_Modern,Modern,Modern,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/AdmissionsPolicy_Non-selective,Non-selective,Non-selective,,,,,,,,,http://education.data.gov.uk/def/school/AdmissionsPolicy_TERM
http://education.data.gov.uk/def/school/AdmissionsPolicy_Non-selective,Non-selective,Non-selective,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/AdmissionsPolicy_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://education.data.gov.uk/def/school/AdmissionsPolicy_TERM
http://education.data.gov.uk/def/school/AdmissionsPolicy_Not_applicable,Not applicable,Not applicable,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/AdmissionsPolicy_Not_collected,Not collected,Not collected,,,,,,,,,http://education.data.gov.uk/def/school/AdmissionsPolicy_TERM
http://education.data.gov.uk/def/school/AdmissionsPolicy_Not_collected,Not collected,Not collected,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/AdmissionsPolicy_Selective,Selective,Selective,,,,,,,,,http://education.data.gov.uk/def/school/AdmissionsPolicy_TERM
http://education.data.gov.uk/def/school/AdmissionsPolicy_Selective,Selective,Selective,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/AdmissionsPolicy_TERM,,admissions policy terms,controlled terms for describing admissions policy,,,,,Concept,http://www.w3.org/2004/02/skos/core#Concept,,http://www.w3.org/2002/07/owl#Class
http://education.data.gov.uk/def/school/Association_GSA,GSA,GSA,,,,,,,,,http://education.data.gov.uk/def/school/Association_TERM
http://education.data.gov.uk/def/school/Association_GSA,GSA,GSA,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Association_HMC,HMC,HMC,,,,,,,,,http://education.data.gov.uk/def/school/Association_TERM
http://education.data.gov.uk/def/school/Association_HMC,HMC,HMC,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Association_IAPS,IAPS,IAPS,,,,,,,,,http://education.data.gov.uk/def/school/Association_TERM
http://education.data.gov.uk/def/school/Association_IAPS,IAPS,IAPS,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Association_IAPS_GSA,IAPS & GSA,IAPS & GSA,,,,,,,,,http://education.data.gov.uk/def/school/Association_TERM
http://education.data.gov.uk/def/school/Association_IAPS_GSA,IAPS & GSA,IAPS & GSA,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
http://education.data.gov.uk/def/school/Association_IAPS_HMC,IAPS & HMC,IAPS & HMC,,,,,,,,,http://education.data.gov.uk/def/school/Association_TERM
http://education.data.gov.uk/def/school/Association_IAPS_HMC,IAPS & HMC,IAPS & HMC,,,,,,,,,http://www.w3.org/2004/02/skos/core#Concept
