Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
59a1137825dc318ad60091eb560ba3bf1785c8889cf59054a7dc58b51147677d,2013-06,City of London Police,City of London Police,-0.090348473298,51.5193579343,On or near MOOR LANE,E01000002,City of London 001B,Suspect charged
ba9637a80fcf39c47d7134d8df1d2d21a0689113fb9b56e4f0a7fa64b8dd3097,2013-06,City of London Police,City of London Police,,,No location,,,Suspect charged
459ac8b99d16eea3a36c31c016d0ee002ad42586901dbf5a06b72c4307eabcec,2013-06,City of London Police,City of London Police,,,No location,,,Suspect charged
24313122f0a8b7c0cf2e45add23b156ae0f9a317c5d33e1276ed97cb4b262dc8,2013-06,City of London Police,City of London Police,,,No location,,,Suspect charged
54c91ece1fccecc76e3f2aef4bf5ab2bb1531faf249dacd28b613927d666e970,2013-06,City of London Police,City of London Police,,,No location,,,Suspect charged
459ac8b99d16eea3a36c31c016d0ee002ad42586901dbf5a06b72c4307eabcec,2013-06,City of London Police,City of London Police,,,No location,,,Suspect charged
945adb12e0d90ec3ef2ba3e67ece874cedeef6dd291490bdc7ebe1e2f2213cb9,2013-06,City of London Police,City of London Police,-0.101575141944,51.5138568907,On or near LUDGATE HILL,E01032739,City of London 001F,Suspect charged
7bd082e6fdfd9d145d8458f871d4e6f7b8613baf77d1501c29f901d797dd0933,2013-06,City of London Police,City of London Police,,,No location,,,Suspect charged
5fa597cb1d8ab1321df7fbb36d4b17807678b222aa5e65d9cbae412392eab416,2013-06,City of London Police,City of London Police,,,No location,,,Suspect charged
459ac8b99d16eea3a36c31c016d0ee002ad42586901dbf5a06b72c4307eabcec,2013-06,City of London Police,City of London Police,,,No location,,,Suspect charged
a679ce099b349b2d99a509ad82cd74ecb6a3823a9d47aa3964f9626befb5431f,2013-06,City of London Police,City of London Police,-0.0803220229418,51.5106513168,On or near MARK LANE,E01032739,City of London 001F,Offender given a caution
586ad50fb2cac04e63026f4a183083b6bfab95362dec11f4dc9f5782d8a3d7c7,2013-06,City of London Police,City of London Police,-0.0807284323807,51.5116111816,On or near Supermarket,E01032739,City of London 001F,Offender given a caution
5537884e921b32883b9f3099d7bea75ad809669e679ca2e5ee1a59e07e0cf0f6,2013-06,City of London Police,City of London Police,-0.0840950262277,51.5168999015,On or near NEW BROAD STREET,E01032739,City of London 001F,No further action at this time
fd3d2ff4ac98fae86c469a12a6735e2f87eea129892350afb9b34065ec90fbf6,2013-06,City of London Police,City of London Police,-0.0784842301541,51.5176803949,On or near CATHERINE WHEEL ALLEY,E01032739,City of London 001F,No further action at this time
0463bff29d477f23cafb028d4033d388dc33b720ee4d27d07fd481d752990fa0,2013-06,City of London Police,City of London Police,-0.0963634922042,51.5133767457,On or near NEW CHANGE,E01032739,City of London 001F,No further action at this time
1ed94e5812b4dd8801d9ec94d663fb983c541e4e07cf16b2421706efe0eab035,2013-06,City of London Police,City of London Police,-0.0934925379789,51.5134470163,On or near BOW LANE,E01032739,City of London 001F,No further action at this time
5d88231028c2059660733713b2da390e70ac435f0f3609a2c9b49f564b8144ef,2013-06,City of London Police,City of London Police,-0.0918233817249,51.5144180463,On or near IRONMONGER LANE,E01032739,City of London 001F,No further action at this time
6d40ecbd0560fc08ee848331d898649eb5d4fb0f03b69032a5acc2fb69197c78,2013-06,City of London Police,City of London Police,-0.0876664974999,51.5111220108,On or near CANNON STREET,E01032739,City of London 001F,No further action at this time
f775684857fa734a204308bf6b77e614d2c9b5537192286c3b434c16ec66138d,2013-06,City of London Police,City of London Police,-0.0963634922042,51.5133767457,On or near NEW CHANGE,E01032739,City of London 001F,No further action at this time
540e0812979b25fc9668929a04401a1c56e90fe4389e69713a058b5804393faf,2013-06,City of London Police,City of London Police,-0.0963482103765,51.5154717633,On or near FOSTER LANE,E01000001,City of London 001A,No further action at this time
89ee43619d4aa78ccc703aa67ace135203eb052e77c7bd61d3541c4ba5aeb5be,2013-06,City of London Police,City of London Police,-0.08862087962,51.5186193821,On or near MOORFIELDS,E01000002,City of London 001B,No further action at this time
ea03ab44e05653a2120a5b6442201ba2e7fde73f242397a4a2b710e4128b6568,2013-06,City of London Police,City of London Police,-0.0846211144273,51.5102000359,On or near BOTOLPH LANE,E01032739,City of London 001F,No further action at this time
34d52ae11e9567d1e2bc514d0e00f04bd8b33cb4d083875391edf074669ccf47,2013-06,City of London Police,City of London Police,-0.104280827433,51.5160318875,On or near BEAR ALLEY,E01032740,City of London 001G,No further action at this time
6ddcce13e2d6d46542f576ad89054ee8c914bde94f4d8e8d8688ddfd0443ee63,2013-06,City of London Police,City of London Police,-0.0999331443638,51.519720421,On or near LINDSEY STREET,E01032740,City of London 001G,No further action at this time
e9a06a39b9f01aaaf44f629da71345af9c78d85c4a209087ad485c2967e861db,2013-06,City of London Police,City of London Police,-0.0980621229496,51.5175768478,On or near MONTAGUE STREET,E01000001,City of London 001A,No further action at this time
8849393ccf88a9786312f67c72c4848f6ad5b4f139d9ea0434cbd46db75fdadb,2013-06,City of London Police,City of London Police,,,No location,,,No further action at this time
27d157a5c27035a2c87c0439fd146899007632939479ae652a633bf12e489811,2013-06,City of London Police,City of London Police,-0.0963634922042,51.5133767457,On or near NEW CHANGE,E01032739,City of London 001F,Suspect charged
61cafa7d83ac75ab8f37ce3053d7a6f64c119f37ffc779b268635363fafb5e92,2013-06,City of London Police,City of London Police,-0.077601142553,51.5187989884,On or near STEWARD STREET,E01004307,Tower Hamlets 015B,Suspect charged
174194e2a22fc54e3a27aeaadccf149e9a1f9fc84a7d94721aa4b8d157735860,2013-06,City of London Police,City of London Police,-0.0862775522642,51.5098763656,On or near FISH STREET HILL,E01032739,City of London 001F,Suspect charged
e5f209d314d16005cc24a244c1df7ffbdd1b00a29b18d909ed474d19924af305,2013-06,City of London Police,City of London Police,-0.0798752442208,51.5109947137,On or near HART STREET,E01032739,City of London 001F,Suspect charged
