Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
f5ead24844a74a3b575ada71377efcf8be3ce3845398f1e82542f1a41991682f,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.4358530936,53.2253049984,On or near WARDLOW CLOSE,E01019576,Chesterfield 013B,No further action at this time
76e6ea0a9558dab39b7fe8b6234b51dd1620ee1e1bdfd91e82b534276fdf10ac,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.47644468611,52.9064465758,On or near YATES STREET,E01013484,Derby 018C,No further action at this time
f45a69eacaff480e7a0cb4b92de18ee66bb2484c1004b3eb898b56068f57475f,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.29173049884,52.9057051146,On or near BRIAR GATE,E01019650,Erewash 010C,No further action at this time
8c8f401b26417b2b4f8da79bf6af79d626a6bc1db322529fa0f4755342c2077c,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.29165709276,52.9001761355,On or near DERBY ROAD,E01019653,Erewash 011C,No further action at this time
1f4473dc6e8882146a8b0e98234f9ec4163b303131cc75d71162b9a34685b89b,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.47400120633,52.9216009026,On or near Shopping Area,E01013479,Derby 013F,No further action at this time
338801adb0a2f5ee0296857e2b56319a18e5116a37e78d53c0474cabb5567c11,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.55932847235,52.7692526413,On or near CHURCH AVENUE,,,No further action at this time
84c8b43c0665832bae5921beaaff6feecfdd986c4c01525d2bcd0afef5fa6683,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.50821098765,52.9084250736,On or near CRICH CIRCLE,E01013542,Derby 017C,No further action at this time
c00919ce64c08ea1f09e0ebfd150a189e5aed74a03f8dc1508cf372cfc5a71b3,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.32707584309,53.2751058834,On or near LANSBURY AVENUE,E01019563,Chesterfield 002A,No further action at this time
f9db4f1496d57d22760c992bf2e2b4e3b947b6f6efeaa261ff2eef1f46da7f18,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.48479583328,53.0208811384,On or near A6,E01019407,Amber Valley 010A,No further action at this time
2b5c273f647e51347dd1bd5be099caf44aff45eb4f997d45ea728845f5902067,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.47152437555,52.9039077662,On or near HOLCOMBE STREET,E01013487,Derby 018E,No further action at this time
57ca4e6d649376e1c2f0ef16cbaa934c779f876acf650922679dfd9491b8f2cb,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.4286928687,53.224210213,On or near ST AUGUSTINES CRESCENT,E01019575,Chesterfield 013A,No further action at this time
8c76fa2da926a9d540c3633497fbc182612d6271803ede7a8f1a311260f3e064,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.4720388103,52.8946060014,On or near Supermarket,E01013584,Derby 029A,No further action at this time
e8788f3c7a590ba71f5d7b672cbff0cb96ab1cc6d1914b11b7068bad13d417bc,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.56414814384,52.7808669876,On or near DALSTON ROAD,E01019863,South Derbyshire 008D,Local resolution
74c987995633a929f92a57ad99fcd0f7e66c054d0410fa327e8d748ddd9e5de2,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.4803597854,52.9470687689,On or near FRIARS CLOSE,E01013526,Derby 005A,Offender sentenced as part of another case
5663042e99522cafd875f54a0be9721bc1a7c2b3d13fcdf445b51f2314ce94ec,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.55932847235,52.7692526413,On or near CHURCH AVENUE,,,Suspect charged
29f8ad7436be32ef3e579374063eacb6ee86f8596f41489a4be5635a35c16c83,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.91444706924,53.2558668395,On or near SCARSDALE PLACE,,,No further action at this time
8c30d2d6eae5aef15a8abd81159bc4fc7122134fb9f023f57f40c70b7f374a95,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.34989648486,53.1011147046,On or near WINDMILL RISE,E01019516,Bolsover 009D,No further action at this time
7a34211d00ad562699405edf29ef7db2a0df65f5b4eeed78760d0e235a4f6c66,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.40195636167,52.9246133461,On or near RUDYARD AVENUE,E01013594,Derby 010B,No further action at this time
c14ed94e631107c7fbdd5a297bf47b20c407a1b4f9413af9554c0aec4a61d4b6,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.22844317672,53.1977333799,On or near SUNFLOWER CLOSE,E01019512,Bolsover 006D,No further action at this time
1a827321651c46c702a313a48aa47c94141989f18fa84469290ed831c8a26dae,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.46780627866,52.9125030309,On or near BLOOMFIELD CLOSE,,,No further action at this time
098abf4747e38fde6db8533f930181006f473306620e7d2b7637c7cc4c944fc1,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.91099114698,53.2526912777,On or near BYRON STREET,E01019724,High Peak 011B,No further action at this time
e250b5b8203c386fe6e8de91004d1486e538a88125d82b46dd97b5f3ba6e3b15,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.47181921161,52.9065609533,On or near DAIRY HOUSE ROAD,,,No further action at this time
5fe957c48d5ec29410cc61869810cd8476eecaf2b8c42e8a01ae7c6ec0b07c90,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.39105518602,53.2461906977,On or near Sports/Recreation Area,E01019535,Chesterfield 005D,No further action at this time
d81d312bf84685c52c1766e4c21abd1b921225167524038ec242592575f05fa6,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.41984517033,53.2704334596,On or near OAK BANK AVENUE,E01019572,Chesterfield 001C,No further action at this time
e2ec083c02c8a65037b4b30f9a88e0a0aa846c71356495e915a13079cfef0eb4,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.59824788466,52.880572742,On or near SYCAMORE CLOSE,,,No further action at this time
8ff67dc4afcb3ae734937fe19e37e907f9778a935087b3e5c3e42405c93cb564,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.42757503699,53.2586234427,On or near SUB STATION LANE,E01019569,Chesterfield 007B,No further action at this time
7af6ab5fb094668142f423f778185ffaf24d5fe7a9dd3a12d17026acdc8af26b,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.4214520981,53.2402385393,On or near HOLBECK CLOSE,E01019579,Chesterfield 010D,No further action at this time
6f97131c07e88a5e7a1546d40f50336ce45d3e282e6d3b54c637c9cd0a008664,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.48196853694,52.9182738568,On or near GERARD STREET,E01013480,Derby 016A,No further action at this time
6c05cc3cb4486df02d886966614e0ad4f2160032d22cd8283804321e62f7e916,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.44780534958,52.9054899509,On or near RUGBY STREET,E01033172,Derby 024F,No further action at this time
b7c7e2f0d32c75c774e8d962bdd269b1094925c66136f8f8e78041ddb1f70287,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.33996577504,53.0092079692,On or near BREACH ROAD,E01019434,Amber Valley 013A,No further action at this time
fb481d29403bbb2c3ec8348c2948813d9d10c9ea88870b014a59c38007ce0c0a,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.64238989219,52.7473725767,On or near THE GLEBE,E01019850,South Derbyshire 011A,No further action at this time
2f04275b75368385a5c27461f4471e8da78fdaa099c64eab4f5f384b125ecdd1,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.21441455576,53.223251641,On or near DALE CLOSE,,,No further action at this time
dce27967449bd3c31923a8e5fbf826cceed3d0b56753c8f1dae745b6b01b1af0,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.47034468698,52.917746198,On or near LIVERSAGE PLACE,E01033166,Derby 018F,No further action at this time
94cb1f33929594d4806175b72a904db9db100ed6a386b59638d9e043856e9fe6,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.38320947964,52.8652410207,On or near HANGER BANK,E01019833,South Derbyshire 004B,No further action at this time
e864dd72d2831b2cfb905a7edbcf0404f6a484c38e2e0e7bc01e4d4675d8854b,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.4484653618,52.9062031796,On or near HARROW STREET,E01033172,Derby 024F,No further action at this time
e8f468c4528dcfa7b19d84e96564e1c6b576c9b5e0a1bf46668b22cdd10f8df7,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.49871138767,52.9250247433,On or near LANGLEY STREET,E01013547,Derby 011A,No further action at this time
28a376af799ef8f79adf9cf84b6c90c632dac40753d0c95dba454641a4ee9599,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.40767272189,53.0365051318,On or near WARMWELLS LANE,E01019460,Amber Valley 006C,No further action at this time
89617c6316a05c5fdc98302b7dd65e6714ac2fd61dd336b21f5d9149b022d453,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.44377200018,52.9023248455,On or near CHAMBERS STREET,E01033171,Derby 024E,No further action at this time
ab4e8cd144cdea777dafbba01370cb0cd0f9f45e90946a7efc0ba4bcaeb27ef1,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.21065714598,53.2622392424,On or near LABURNUM CLOSE,E01019497,Bolsover 003B,No further action at this time
eb3383b0cfa3a21cb82301903c4e1a7f9dd6b94aaeac4392171659c9cf9f81c3,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.42927106058,52.9231205381,On or near SUNNY GROVE,E01013511,Derby 012E,No further action at this time
81ac8cd64f2c4310c10622087ee5954c7ada28a63d61fc1018467363143b81a1,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.28540864532,52.9103957446,On or near WILLOUGHBY AVENUE,E01019648,Erewash 010A,No further action at this time
2bc8864d910275a99bef12ecc5767854fd30841b6c465ecb21b9d836cb59d1fc,2013-06,Derbyshire Constabulary,Derbyshire Constabulary,-1.32300891634,52.9880057203,On or near LANEWARD CLOSE,E01019638,Erewash 016A,No further action at this time
