Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
017baa2faabcda734b8ab9d7e1c3985532cbe03aefb2f1d314d81967f2ff7429,2013-06,Dorset Police,Dorset Police,-2.00289567345,50.7406590931,On or near NORTHMEAD DRIVE,E01015418,Poole 006B,Suspect charged
5eefe32cce0d16b19bd511dfa8cdc7e5a9837fa8c76e9b7db5ae444999583b67,2013-06,Dorset Police,Dorset Police,-1.84307226765,50.7511652205,On or near CASTLE LANE WEST,E01015339,Bournemouth 008B,Offender given a caution
e4cef4264029d683f552db9257bc4e0ae3347f8428d8c70723ff00c57457b575,2013-06,Dorset Police,Dorset Police,-1.98373071039,50.7123851111,On or near FISHERMANS ROAD,E01032662,Poole 015I,Suspect charged
df53158ecedcedabc59a5b6df7f6e8a12400589161a68d0d145988a1c878d6aa,2013-06,Dorset Police,Dorset Police,,,No location,,,Suspect charged
40351c8068e34d6e969083b5deb94a921b9352bd36b58687d78b5ca40d086dc8,2013-06,Dorset Police,Dorset Police,-1.88245684674,50.7203217204,On or near Shopping Area,E01033285,Bournemouth 017G,Suspect charged
3577ee15813a56f0a3adf4177564fbdf40cdfda640ebe7ea94e4f33bd53daa55,2013-06,Dorset Police,Dorset Police,-1.98523152422,50.7140219755,On or near PROPSPEROUS STREET,,,Suspect charged
8c2b5b9eee0de3475031c8222e97fbe94bc83959bcd7afeafc0716099ce6dce5,2013-06,Dorset Police,Dorset Police,-1.87953318905,50.7501563608,On or near VICARAGE ROAD,E01015356,Bournemouth 009B,Suspect charged
601b23d9b339b000f3607576c51d6b43bfdf3d5f87a799c24ee9b5601ecd0786,2013-06,Dorset Police,Dorset Police,-1.88838730715,50.8120430918,On or near EVERGLADES CLOSE,E01020390,East Dorset 008A,Suspect charged
0191761650b441dc431b5ab5b53e044dc65554f3343306c66e4d516d528e10a5,2013-06,Dorset Police,Dorset Police,-2.21812938337,50.7538716576,On or near SNOW HILL,E01020465,Purbeck 001A,Suspect charged
d46d7b6c17ddd704abf932bbe4894b18d0b344e7091ee5a35acf61339a6a68de,2013-06,Dorset Police,Dorset Police,-2.4521100066,50.6176416317,On or near VICTORIA STREET,E01020555,Weymouth and Portland 004C,Suspect charged
b1194b13ee6ec7c3722c88fd53fb437f227d8c75e288e9ab33b1360cca078910,2013-06,Dorset Police,Dorset Police,-2.11421425048,50.6875820801,On or near TINKER'S LANE,E01020486,Purbeck 003D,Suspect charged
1a0d90a886f563bf4096b1860127fc3c49e948471be0f8a487384aace29a94e3,2013-06,Dorset Police,Dorset Police,-1.77235986878,50.7555361208,On or near AVON VIEW ROAD,,,Offender given a caution
4c8c680a924aa14142ff68193b7f5c8b72edcea79522b028557339b8f1d836e7,2013-06,Dorset Police,Dorset Police,-1.88669484975,50.7546328565,On or near COOMBE AVENUE,E01015337,Bournemouth 003E,No further action at this time
60aee28276ec9a530f23f09dc34e2533553b76b7466432a947d821696a05269d,2013-06,Dorset Police,Dorset Police,-1.83352492819,50.7532832579,On or near HELYAR ROAD,E01015338,Bournemouth 008A,No further action at this time
87f8d2bc213b8c113d1db6dc3860683421721dda9eddea4a2b8ba9a2f6649a4d,2013-06,Dorset Police,Dorset Police,-1.87286161193,50.7221731581,On or near Nightclub,E01015283,Bournemouth 017A,No further action at this time
57b067129d1d9f505c55e755443bfde0a9c55cd4675a9bfa9b2b6aede8e3fcb7,2013-06,Dorset Police,Dorset Police,-1.8654868733,50.7597541508,On or near COX AVENUE,E01015350,Bournemouth 006E,No further action at this time
5ca61c50705ab060e8bc3433c64a904b6b92be526e9b1bab937e30b44ce97cee,2013-06,Dorset Police,Dorset Police,-2.00871552079,50.7155153163,On or near LANARK CLOSE,E01015426,Poole 016D,No further action at this time
fa354b9b2790206ab523d62d0c4b99e0a5f10bfbea3a4cb3f6b73844a1e5c4fd,2013-06,Dorset Police,Dorset Police,-1.95875980026,50.7458586738,On or near VERITY CRESCENT,E01015411,Poole 005E,No further action at this time
d74f15eac626d0072333ebf9f5c23be83b7f4f51f356eaf1cd43a001d66d0693,2013-06,Dorset Police,Dorset Police,-1.95875980026,50.7458586738,On or near VERITY CRESCENT,E01015411,Poole 005E,No further action at this time
dadc3a4d74135ab6ba68f76add69e93b4fae21b9a8eb9fcdc26132a9c49f8bd6,2013-06,Dorset Police,Dorset Police,-1.85045992435,50.7325691311,On or near Supermarket,E01015294,Bournemouth 015C,No further action at this time
17544c7f699193b0da6c1f4f43a87258faf4303e730017e6e8aa13c36ae5eb10,2013-06,Dorset Police,Dorset Police,-1.91412017946,50.7265542091,On or near SILVER BIRCH CLOSE,E01015386,Poole 009A,No further action at this time
32367149446a83d01bcc1d839ca367f3f7cc85f02292740c0fda6b665558d580,2013-06,Dorset Police,Dorset Police,-1.84436521933,50.7288382082,On or near BORTHWICK ROAD,E01015281,Bournemouth 019D,No further action at this time
deef893bd0bd51e1495354291384b23e551f1fc42b9866bcaf9a7339cc94bc62,2013-06,Dorset Police,Dorset Police,-1.84434077062,50.723379626,On or near ST JOHN'S ROAD,E01015279,Bournemouth 019B,No further action at this time
1a5b3fa6688177c850b4618d5249eab76b1d2bea1139049512a42891e2854843,2013-06,Dorset Police,Dorset Police,-1.94979470497,50.7262152382,On or near SPRINGFIELD CRESCENT,E01015457,Poole 011E,No further action at this time
dbc3e0c8111a5dd344096b3c7496f69421c66b26f291c8f803236c6c79431cbe,2013-06,Dorset Police,Dorset Police,-1.89971270439,50.7393752579,On or near GALLOP WAY,E01015388,Poole 009C,No further action at this time
d506f62fc78693fc4342f1d40efbc6377900685251b8ca752ed81d8e6c099d1d,2013-06,Dorset Police,Dorset Police,-1.92336609662,50.7386917203,On or near ARNE CRESCENT,E01015385,Poole 007F,No further action at this time
97b8a2bc54b507abfe8047addcfaff3200e2f40fa4abf2972ef15ad742592ddf,2013-06,Dorset Police,Dorset Police,-1.98786332079,50.7246516119,On or near STERTE AVENUE,E01015465,Poole 015A,No further action at this time
ab7d5b264a9892d5d5b915ce130d39e0653aa264e4b86a6209dcfb0bcd5940e3,2013-06,Dorset Police,Dorset Police,-1.84581521764,50.7273653341,On or near CARYSFORT ROAD,E01015282,Bournemouth 019E,No further action at this time
4b8a895b6f03cee05584f7afbd07a22f3486d7d39b9cd0c86afbe37c2ff9e5b7,2013-06,Dorset Police,Dorset Police,-1.86114733511,50.7361434134,On or near ST LEONARD'S ROAD,E01015331,Bournemouth 013B,No further action at this time
4e66fbe75860e6974093dc5771da35cfe56cdd6200f52b4999fbaba87beedcfe,2013-06,Dorset Police,Dorset Police,-1.98516062954,50.7142647691,On or near Parking Area,E01032659,Poole 015F,No further action at this time
539855fe9616493ed5ad8517d84197bd2fcd946a8a9b9fce5b725115940ca68f,2013-06,Dorset Police,Dorset Police,-1.9731169015,50.7219783563,On or near Hospital,E01015468,Poole 015D,No further action at this time
bd0d1f578a26f1a1213831bcdd946e9ad617fc3fde9619c63f79777b8969a451,2013-06,Dorset Police,Dorset Police,-1.85974861806,50.7632635162,On or near SUSSEX CLOSE,E01015351,Bournemouth 004C,No further action at this time
a43b4e31b79de8b4637ad6e51a7f9cac637e5e32c007fdc80485648a2acd2185,2013-06,Dorset Police,Dorset Police,-1.95213592214,50.7226910928,On or near WESSEX ROAD,E01015453,Poole 017B,No further action at this time
5dda0979ea55b661ac239edb3463d65a285dc8c8c64473c66a2767aeb3213d60,2013-06,Dorset Police,Dorset Police,-1.83454349649,50.7297059891,On or near GLADSTONE ROAD EAST,E01015277,Bournemouth 016E,No further action at this time
5485938bec1d9baab91cfa1ec3928cfaf7de1b39a35d211450ffd02bad20eaf2,2013-06,Dorset Police,Dorset Police,-1.90043849982,50.7245290041,On or near SNOWDON ROAD,E01033286,Bournemouth 023C,No further action at this time
5361226ad713d9419720c148d5c967c96df7517b51e4b2a85755df2238be27d6,2013-06,Dorset Police,Dorset Police,-1.84097232993,50.7224218649,On or near SEA ROAD,E01033283,Bournemouth 019G,No further action at this time
a7abf034ac5c6579245d899032ba3ffc56255b56022741c10998f4d8b15d2fb6,2013-06,Dorset Police,Dorset Police,-1.86765981388,50.7181116853,On or near EAST OVERCLIFF DRIVE,E01015285,Bournemouth 021A,No further action at this time
14269946b02811b2abde132f1015c913a2187a81af9e1e388c7fa6187e19546e,2013-06,Dorset Police,Dorset Police,-1.99453405994,50.7423316507,On or near HOLYROOD CLOSE,E01015417,Poole 006A,No further action at this time
a1005877c8043d8d2bdb40298c9b3e2c4977d1d548abd89d9fd80563dd34fa01,2013-06,Dorset Police,Dorset Police,-1.79880371395,50.7246049936,On or near KEN ROAD,E01015300,Bournemouth 020E,No further action at this time
c8ba94c678d0df0f8a9b24ff52471e150c9ce04ac343b7a5735db52da0d7aac4,2013-06,Dorset Police,Dorset Police,-1.90461968006,50.7165919596,On or near ALUMHURST ROAD,E01015370,Bournemouth 024D,No further action at this time
d759ac4f448d217b479f64deef71238a2753eb8d032c088f30f5d3a979399d00,2013-06,Dorset Police,Dorset Police,-1.82343124875,50.7270099031,On or near WEST ROAD,E01015275,Bournemouth 016C,No further action at this time
