Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
cfa74501430cc72a417d6da1ea579faef295e491220db68f681b42d26ea85253,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.09545898881,51.9089253337,On or near Sports/Recreation Area,E01022155,Cheltenham 007D,No further action at this time
d8bed13e9a461974c9dbeff75fee1a039f783eec9d8f59692529ac348608f359,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-1.96086563181,51.7051860194,On or near LOVE LANE,E01022198,Cotswold 008D,No further action at this time
b4b08ab1aa7357fbea16c24c30c463ba5aff1a0877e856c31600dd90839ef492,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.07582085665,51.9008209359,On or near CLARENCE STREET,E01022127,Cheltenham 009G,No further action at this time
a07bcc9ec9c1df4213e1a7a70c9996eb86a680b64933211d888d7efda9dcd55d,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.24749837835,51.8641356595,On or near SOUTHGATE STREET,E01032937,Gloucester 004F,No further action at this time
b4258b73372c9a49acd087444c6c6cc8cf4d7e0a6e01ce28552e108dc3b0cf5b,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.23614399173,51.88390305,On or near VICTORIA ROAD,E01022440,Tewkesbury 006A,No further action at this time
fe5b9d03a5eda735550b2d0382414a846cc24a195464a1885db994e866748efd,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.25162964488,51.8289722721,On or near GODDARD WAY,E01022346,Gloucester 012D,No further action at this time
54208a288297fffd02cbb50be8c9b0260f176715b876693fcd2437ad18d5fadd,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.45158300178,51.8064899131,On or near STATION ROAD,E01022265,Forest of Dean 005C,Local resolution
24e52b12f1acd2e8028a215a56ac7c01823ac914ee51b99136f7ff46366fd657,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.62193844089,51.7944550729,On or near VICTORIA ROAD,E01022242,Forest of Dean 007C,Suspect charged
5417bf1ca988d6f68a998ffdc7a4e4e7b146c93ae5843751bd219773cb8a9546,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.08340943478,51.9018047789,On or near JESSOP AVENUE,E01022127,Cheltenham 009G,No further action at this time
42fc7ec1c88d6980613036f77eb5f25756585658ad1c546b8329ff9140d413fa,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.07547382497,51.9018820797,On or near Bus/Coach Station,E01022153,Cheltenham 004D,Suspect charged
20101a6851a1f5d1c2552756768a149c8daf49102a0924101ba7ffbcccb262cc,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.07816682524,51.9042628898,On or near NEW RUTLAND COURT,E01022153,Cheltenham 004D,No further action at this time
0e04892fed6255c2c0578ecbc3a486a4002ccdcfd4f258b8777caf9e9413cf0d,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.21726894262,51.6965393835,On or near GEORGE STREET,E01022386,Stroud 013B,No further action at this time
ce57eb042cba17a4ac47a798d58a26b68d076678589b961f19aefa529117224d,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.36008912021,51.8314052777,On or near BROADWAY LANE,E01022266,Forest of Dean 005D,No further action at this time
14bc3b4ef1bca5463d55a78efd8f67153362c0db85bb5960787b6f3d05dd3856,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.36836458144,51.7180200499,On or near M5,E01022398,Stroud 003D,No further action at this time
0db39d66fec7ffa19ec751dbfe52cf7f392b0557e58e49b672d47cc6cbf7a820,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.19830743348,51.840079313,On or near DEERHURST CLOSE,E01022281,Gloucester 010D,No further action at this time
5e809c317bf532bd7a45eba4cf6fe50b1f840639b3a275cd69b6e0d83714f654,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.11445539384,51.9020573293,On or near Parking Area,E01022147,Cheltenham 005C,No further action at this time
6b1097a18eda1ca930f203b73681b8cef05d065d03f9953f1e4330e96685d3b7,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.29087436865,51.8053342461,On or near Petrol Station,E01022380,Stroud 001C,No further action at this time
3a32504e444ba70f0e8c372e53054e6000cab42d839ead9d0d818f88e7c5acd9,2013-06,Gloucestershire Constabulary,Gloucestershire Constabulary,-2.21810338802,51.8427145441,On or near PAINSWICK ROAD,E01022324,Gloucester 011E,No further action at this time
