Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c58bcfd69ec5296ff0b4dca25582bb08269c7e05c19bf376fe9c0c06aad6da0d,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
8d479436e98045669ff12efe09bb6a1bffab5c5619b72da9bbab4afdd7c6c96d,2013-06,Gwent Police,Gwent Police,-3.24735608802,51.7752753887,On or near RHIW ANEURIN,W01001481,Blaenau Gwent 006E,No further action at this time
24d205c9400549f61706e1dc7667eef981bad09428798e5c86d6a224f3a0b8b2,2013-06,Gwent Police,Gwent Police,,,No location,,,Suspect charged
5cee087a2d88ccd59a5b00d4c3a8304d7a555389ffedf432a15c5e003eb19b75,2013-06,Gwent Police,Gwent Police,-3.14912595333,51.6633071292,On or near TRAMROADSIDE,,,No further action at this time
c1a9e9a22452b6a6f11ac3c8cc0503efa0f44d8dc9811672b1a8ce42aa353dd4,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
3cfc26017adf3f03465ba95453a29bb2699e6b8b644bcd17bfe6f63d1794fe38,2013-06,Gwent Police,Gwent Police,,,No location,,,Offender given penalty notice
cbdccb31f82e9cbc61c724eb2b1ca62a1aaae5f01194071162685d13b16c9f34,2013-06,Gwent Police,Gwent Police,,,No location,,,Offender given penalty notice
b6bc46abb57e8cc39fa9a4fa56cca0e513d30d173836b5a77d3fe0ef987fe474,2013-06,Gwent Police,Gwent Police,,,No location,,,Offender sentenced as part of another case
03d32ea6b36383778c7dd8c6a7747a912418e1831b0144d982fb5eede82cfcef,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
2f1a049c272f98b0c89bb2761c1b40a7e37147bc563f3f3bd69b65d83b33d900,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
2c972fa9a14d320de66f723de557a21a032b0dff97ebda576c08fd196a62c585,2013-06,Gwent Police,Gwent Police,,,No location,,,Suspect charged
283afb9731b63c6c751ce9436a7f1b723d2af4fc53c775997b674f3dc00c637a,2013-06,Gwent Police,Gwent Police,-2.98716334563,51.5901594513,On or near CEDAR ROAD,W01001693,Newport 013E,No further action at this time
2059713b09288a6d2bd104e220f653912f7ab391656e8299e646380a2e6272e6,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
e63fba10768b822b266373bc42848dde596c9cf09c771138e8801e624a044ef6,2013-06,Gwent Police,Gwent Police,-3.04253286376,51.6530085437,On or near TY GWYN WAY,W01001528,Torfaen 010D,No further action at this time
76b0bd1913a776f639decbe382e883ccb498c0c0247a4705084d60d86e97227b,2013-06,Gwent Police,Gwent Police,-3.07018530762,51.6057335532,On or near Sports/Recreation Area,W01001407,Caerphilly 016A,No further action at this time
d36448a8c35e9b2359c0227c6318a7d26732a2bf5697b065cd61d9ba973d4772,2013-06,Gwent Police,Gwent Police,-2.9610997567,51.5459930578,On or near Parking Area,W01001647,Newport 015F,No further action at this time
5082421a7995017646fd7758a485635886461cb438573970a514994684a9ad56,2013-06,Gwent Police,Gwent Police,-3.04586259358,51.6519718733,On or near TY GWYN ROAD,W01001501,Torfaen 009A,No further action at this time
2ccfe1576219197ebace0406503564df7fb527c72c3890a1b5502e8582332591,2013-06,Gwent Police,Gwent Police,-2.98422117985,51.5962894765,On or near CONSTANCE STREET,W01001675,Newport 007A,No further action at this time
38ebd152877b11453a57ed40f0be2e4abaccd9a25ecbfa925e5cda458f46115c,2013-06,Gwent Police,Gwent Police,-2.98848510998,51.5779017136,On or near FREDERICK MEWS,W01001661,Newport 018C,No further action at this time
53d0256276ee386721427dfdeeaef18f6f860ef0bde92864f6547e79dc4ec087,2013-06,Gwent Police,Gwent Police,-2.994404441,51.5839660153,On or near IVOR STREET,W01001687,Newport 014D,No further action at this time
806c75b6dde27040085d401c8f260734cf0617c784b9bf02efe423bc855a9e97,2013-06,Gwent Police,Gwent Police,-2.99974970687,51.640711556,On or near CROWN ROAD,W01001508,Torfaen 013C,No further action at this time
dc8bacd3cbba32f5f28ea65f9f540b659b0d70e57b78ed3b2c54152a76398886,2013-06,Gwent Police,Gwent Police,-3.02002602608,51.5795739524,On or near HIGHFIELD ROAD,W01001631,Newport 017C,Suspect charged
5f783fd886e33c009fc7e9bd0ed4cb9e83bd95ed63208dffa9cfb9aa8e3b40eb,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
783d4085f178705712dff63ac8e386bed051b463fe97bc3a1a6ab7e4d8c5eef8,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
1d8cac5f39fd61200a6af72c8a425c652134cab26b904fdc5a4452c35a3009cb,2013-06,Gwent Police,Gwent Police,,,No location,,,Local resolution
e8d56309cd282884ef93fc874e4f8e42933c55f59fdca322c6c87f2131bc7c4e,2013-06,Gwent Police,Gwent Police,-3.14178380905,51.7025101682,On or near COMMERCIAL ROAD,W01001465,Blaenau Gwent 009B,Suspect charged
06500e9e0339e00b0379d3030420e0732ba6c6eb40c5de6c8554c59c32763fa6,2013-06,Gwent Police,Gwent Police,-3.22916163356,51.6902808092,On or near Nightclub,W01001338,Caerphilly 004C,No further action at this time
6c8e5f73d14b3f300de6a9497d9f687444c77c920d6158e8aec5d0a57d5d4526,2013-06,Gwent Police,Gwent Police,-3.13168237511,51.7314707583,On or near RHIW PARC TERRACE,W01001437,Blaenau Gwent 008C,No further action at this time
a7c383f1d3d0dcaa16d4303c7bf096eabc9477c8b2e63e54b6e3dab23a2f0c11,2013-06,Gwent Police,Gwent Police,-2.97765568706,51.6334076717,On or near LAMB LANE,W01001509,Torfaen 013D,No further action at this time
fa15d8aa6ca38670f8f3383da39ff1efae754dd27e860035ebed41519eddc395,2013-06,Gwent Police,Gwent Police,-3.14024357994,51.7327546899,On or near OAK STREET,W01001453,Blaenau Gwent 008D,No further action at this time
9d69e8f3146773e599ecbb6471efcd7756eaedec69f39e4ec4a767373e891303,2013-06,Gwent Police,Gwent Police,-3.24588897402,51.7767385877,On or near Nightclub,W01001481,Blaenau Gwent 006E,No further action at this time
e468910867165b28b89787bace0734d17d961a700a3202df0eeb6c8c4f9f96c8,2013-06,Gwent Police,Gwent Police,-3.02646350573,51.6378644665,On or near TY-COCH LANE,W01001534,Torfaen 012C,No further action at this time
7d3cd7d09bb8ff0898a711c07e194ace5ca0879b32a6cc9b187ce3a789257187,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
b3bcbb072dc209fc9d9a5e563a363af57c8cf5e36c1c7b6d0c6a44a08b7cd1a3,2013-06,Gwent Police,Gwent Police,-3.21826745564,51.5808212281,On or near MELVILLE TERRACE,W01001373,Caerphilly 022C,No further action at this time
56a98ea000ae2b458bfab0caa4cc22d367b662b3a7f23473b76abc31e145ceaf,2013-06,Gwent Police,Gwent Police,-3.14945496701,51.7436615532,On or near ARAEL VIEW,W01001453,Blaenau Gwent 008D,Offender given a caution
e947ca2551eba69373e56d25866b14c3b4ef5056aab1cc1f1fb284e3d798d56e,2013-06,Gwent Police,Gwent Police,-3.16268181918,51.5941354945,On or near HERRICK PLACE,W01001345,Caerphilly 021C,Suspect charged
927f6f2a27ee81b61bc1a2c4cf8f7de1e1260cc6ebba464411f446b382d0fbe6,2013-06,Gwent Police,Gwent Police,-2.97300345629,51.6023624415,On or near BADMINTON ROAD,W01001678,Newport 005D,No further action at this time
425a062281fa996bee02b4fe24f13ea2b7425412e8db7ce684f05f9a555f9db0,2013-06,Gwent Police,Gwent Police,-2.9777317829,51.5818402348,On or near SEABREEZE DRIVE,W01001644,Newport 013C,No further action at this time
732028077f3f4e9aab91b58c2b85e57c406781f2518dc313d83f7be3a2e3bb8d,2013-06,Gwent Police,Gwent Police,-3.01857156527,51.6596927831,On or near ST DAVID'S ROAD,W01001521,Torfaen 007C,No further action at this time
123d38feab9b6b4830fc6f90b92f134f2a89d34953b4df631d5b92cbddaaf61d,2013-06,Gwent Police,Gwent Police,-3.25192464358,51.6558899211,On or near CEFN LLWYNAU STREET,W01001418,Caerphilly 008E,No further action at this time
45895114b32d28f311ed43ce85e9102c8300a41084bc0a64d514a8f196360f28,2013-06,Gwent Police,Gwent Police,-3.08488772787,51.776428851,On or near CASTLE STREET,W01001488,Torfaen 001B,No further action at this time
89ca4553fbbe820768899ed65915b610300b1c79b07db4c951765a784d86eb3f,2013-06,Gwent Police,Gwent Police,,,No location,,,No further action at this time
3316e38c1544209670a609cb0e1993e3fa6f7d6069c725064a78b569d2fc776a,2013-06,Gwent Police,Gwent Police,-3.20417061473,51.5793212483,On or near HALDANE COURT,W01001421,Caerphilly 022E,Offender given a caution
9e07fc3692b8dd37820f49aa309c067b8761f2da0672092762fb67ce61f9f0ad,2013-06,Gwent Police,Gwent Police,-3.1660649595,51.7710838087,On or near A467,W01001443,Blaenau Gwent 005A,Suspect charged
