Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
ae3cb8ea4949eae965c318a89ae061512dd64ce716f28c25bc46a4976aadbbc6,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.39391620377,50.9213475567,On or near SPRING CRESCENT,E01017227,Southampton 013A,No further action at this time
27e22393cab767c43edb0543fe6c2dbb1267cb2e35dfc34d1b54bf93077693de,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.00379200513,50.9082581943,On or near Petrol Station,E01022610,East Hampshire 016A,No further action at this time
3d775f070b1c584ac062ddf67ee00c3616e94405db3a944c0c9f7658a6de31b3,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.04780276057,50.8606134844,On or near DOWNSIDE ROAD,E01022947,Havant 011A,No further action at this time
89fdb8bce2696548ca0cf43be7b60e7494a90355b11963b4b82c4dd9f1ce51ac,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.40089294587,50.853274265,On or near GRENVILLE GARDENS,E01023004,New Forest 011B,No further action at this time
eb098ce1005d026a51b0f119f471db6d61df5f6b80a0efe852a8de26359cb3a4,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.37509828883,50.939089438,On or near FRIARS WAY,E01017264,Southampton 003A,No further action at this time
dd55f1be687b09c6513ae2265e6156817b1e0b1e5099cc0e338dc35ac3e8634b,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.34058005072,50.9223176009,On or near BENTLEY GREEN,E01017205,Southampton 018C,Offender given a caution
4cca1d56f0237e75492399e70c166ba6bd96561be34a7d71c58c7be20279ee10,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.23982404355,50.8776778162,On or near WHITELEY LANE,E01032859,Winchester 013F,No further action at this time
067cc0c623958a853c6939ea8bcb6505c5cba4fa695ed554e71d34cc3e99234d,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.30451342164,50.9299948448,On or near WELLSTEAD WAY,E01022692,Eastleigh 010C,No further action at this time
1210986dd4609a890da5b7917f5b8079df831b3decbccb69dc97ca3a69ead78b,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.09567218631,51.2635287609,On or near Further/Higher Educational Building,E01032845,Basingstoke and Deane 012E,Suspect charged
e4e5651c664da140ec6afb9ead8d971d8b9da5450b2dd6a0c1703f9695cae8ef,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.14234749299,50.7923632715,On or near BURY ROAD,E01022797,Gosport 010A,No further action at this time
7dbbf9a5860d955c71ba073f29ffb3cbd04c29c7f40a52803e5ed573835f84f6,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.08713078176,51.2663849118,On or near Parking Area,E01032847,Basingstoke and Deane 011F,No further action at this time
d6cceb649a3dc434ca9d4a25e687fb1496f955cfa161794b109b5ccb9cb9d888,2013-06,Hampshire Constabulary,Hampshire Constabulary,-1.30873059833,50.9200382157,On or near PUDBROOKE GARDENS,E01022700,Eastleigh 011C,Offender given a caution
