Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
39dbdd993c4428680734d5fd26bfd076a4ab77b694761e7d9929061fce8be365,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.245956989191,51.7599198264,On or near ASHBURY CLOSE,E01023938,Welwyn Hatfield 010D,No further action at this time
f9abc98fd526736ea5d123b87b536c393dabfeb4f05156b41e74fea797651ce9,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.196375056067,51.907663289,On or near MILLER WAY,E01023779,Stevenage 006B,No further action at this time
efb83f90871c90270c2b17e28a66875caf67dd7bb07407e69113da1c8797317a,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,0.0412048925148,52.0181348169,On or near BOGMOOR ROAD,E01023597,North Hertfordshire 005C,Suspect charged
81721c3c5e4772dacc8b5558f90a9cd23649e53f31299ac647d6afc63cb7a1f7,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.201530855783,51.9150705805,On or near BARCLAY GARDENS,E01023777,Stevenage 002B,Suspect charged
e7842e8f70bea031427ccb524be4692e393c15438c5b51da5288d4e977a65bde,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.253023293637,51.6586120826,On or near Petrol Station,E01023546,Hertsmere 009C,Suspect charged
35da6412ee79cc6590a36ca4cc35c7e74ef4068b2cd087713ac590d96ac60d3e,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.180705187629,51.8996980261,On or near Park/Open Space,E01023756,Stevenage 008B,Suspect charged
12a169f7f5c91b36452dd49bdaa8ac6fd1f5c42fc81089a7916e875b047181c3,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0168982595102,51.7557834456,On or near Park/Open Space,E01023321,Broxbourne 003B,Offender given a caution
e33aac3e0b3a3eab565137e20161bf288fb1452319f93c92a62cfb599a392a99,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.662351268163,51.7943576588,On or near FROGMORE STREET,E01023420,Dacorum 003C,Suspect charged
0de60f316fde84ebc2fbec5f590da6951d9a30078e452fea0b56f4b84d52b3ad,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.182819165879,51.8782849193,On or near KIMBOLTON CRESCENT,E01023785,Stevenage 011C,No further action at this time
ec3eb802b4d6dc465e58fd0f776c2af5aa4368403838a9fd68f526bd5a57d4b6,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.249643520882,51.7627623163,On or near ALBATROSS WAY,E01033314,Welwyn Hatfield 010G,Offender given a caution
e11c4295cde5d2fa9edc6561ea3550da57c43349ccaebac6d3f82cb20fe1839e,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0212401362869,51.7638507989,On or near PADDICK CLOSE,E01023323,Broxbourne 003D,Suspect charged
f9179c2bb16c30393d7c11c3ba6ab61977bcd63083ac46f7db05ce243a1569ef,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.224870749243,51.7633169761,On or near Parking Area,E01023920,Welwyn Hatfield 012A,No further action at this time
73992b0c74e148672d826b5d560724ac43bf9eaf5b9951e42740088c73bf4206,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.216555257649,51.9857500647,On or near HAYSMAN CLOSE,E01023633,North Hertfordshire 006D,No further action at this time
b2a96b72c03c8153f58c6e0ce1f848374b7a444825178cd6314b180c3af7d938,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.0586258285691,51.7125707666,On or near LEAFORIS ROAD,E01023325,Broxbourne 009C,Suspect charged
8676b54d8a0dac4884a3cfc7173ed4f72c18885c5529ca22709aa0e7d1fcebdb,2013-06,Hertfordshire Constabulary,Hertfordshire Constabulary,-0.215521401732,51.8313349677,On or near FORGE LANE,E01023969,Welwyn Hatfield 002C,Suspect charged
