Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
965031b91e5bd47028dde938ce171203668aed940e987c4c03fe64b0518afdbc,2013-06,Humberside Police,Humberside Police,-0.878202094648,53.7041771334,On or near JEFFERSON STREET,E01012999,East Riding of Yorkshire 040C,Offender given a caution
d5c028f92dae6c5cc6947c97225bcaed90601435ce18657d49889174adabf9df,2013-06,Humberside Police,Humberside Police,-0.449097813255,53.8524192268,On or near FAIRLAWN,E01013068,East Riding of Yorkshire 016E,No further action at this time
41011d37430e161a80d497b3f1043b9d7666464b52bdb1c2595e566567d7cd63,2013-06,Humberside Police,Humberside Police,-0.286948437048,53.7803053377,On or near GLENEAGLES PARK,E01012828,Kingston upon Hull 011E,No further action at this time
9a0eb5e3a5a4f6ea96dda6183323523e2e50a0a00b8de08493515835bba8aa38,2013-06,Humberside Police,Humberside Police,-0.343300009874,53.7456710535,On or near Shopping Area,E01033104,Kingston upon Hull 029E,Suspect charged
719ac30c64e7785bdbabba3c2eb0286289def944e3da38d23769e3cdbddec442,2013-06,Humberside Police,Humberside Police,-0.321479961103,53.7859355367,On or near GOODHART ROAD,,,Suspect charged
02cc0149ff54313735a00ed622130a995fd5c4f43cae96687c2b6a9a09d5e357,2013-06,Humberside Police,Humberside Police,-0.651322375824,53.5948879448,On or near GROSVENOR STREET (SOUTH),E01013300,North Lincolnshire 007B,No further action at this time
7af6aa0b2b358713b0932be6db82759ba46d826c7a9eb3c3d5fba45054d4a4d8,2013-06,Humberside Police,Humberside Police,-0.414809595622,53.7587554292,On or near DAVILLE CLOSE,E01012800,Kingston upon Hull 023C,No further action at this time
010fbc8875fc82ed1011105e3f367f63d7f06b35e5c532355a002c3a1d8ded2e,2013-06,Humberside Police,Humberside Police,-0.346985087685,53.7499198701,On or near COLLEGE STREET,E01012851,Kingston upon Hull 029A,No further action at this time
8a3dcbd20f9c471b58358a61b685ee5f31a80fd3cd2a1495413a97e99807486c,2013-06,Humberside Police,Humberside Police,-0.264562728675,53.7710840595,On or near GREENWICH AVENUE,E01012837,Kingston upon Hull 010D,No further action at this time
1726167d88ce323a65a6f6fb09e4bee0512f1515ffaf359385b0c54eb58520f5,2013-06,Humberside Police,Humberside Police,-0.0624024013344,53.5690092937,On or near TUNNARD STREET,E01013138,North East Lincolnshire 006A,Suspect charged
3f01998a10325e9dab35ec79779c442f2eab43923ff963de96e1103162e5e801,2013-06,Humberside Police,Humberside Police,-0.062891466464,53.5675608661,On or near CASTLE STREET,E01013140,North East Lincolnshire 006B,Suspect charged
a15813b9a035a4c6fd90835f290ca4a2dc4e8b1554ae3312bd55b50ae210957f,2013-06,Humberside Police,Humberside Police,-0.104449272557,53.5446375845,On or near WAINFLEET ROAD,E01013210,North East Lincolnshire 019E,No further action at this time
68eaacfba6940d95668627e73dee7badc36abc2ccff916b0809d772671a427b1,2013-06,Humberside Police,Humberside Police,-0.19051993419,54.0814537778,On or near Nightclub,E01012948,East Riding of Yorkshire 005C,No further action at this time
05adbcc13e8992210bc027d0cc80f801f724baf2d7d8f1b95d523fa61534205f,2013-06,Humberside Police,Humberside Police,-0.331101486172,53.7802538779,On or near STONESDALE,,,No further action at this time
345adab74a9dc127d8089a609b36b4389aaa7d9934a31a4cc87e282e1bdfd857,2013-06,Humberside Police,Humberside Police,-0.331101486172,53.7802538779,On or near STONESDALE,,,No further action at this time
67d91580ed204cbf1dabdae4649087f729936918cf5b280635e3f66fe7cf1808,2013-06,Humberside Police,Humberside Police,-0.0585686156163,53.5706102399,On or near MANSEL STREET,E01013138,North East Lincolnshire 006A,Suspect charged
5a8390db1b85543429e02dc40b74253f7a818da9d870cb16f1bec7a022d3cd23,2013-06,Humberside Police,Humberside Police,-0.422030547371,53.7219146412,On or near OWEN AVENUE,E01013008,East Riding of Yorkshire 034A,Suspect charged
24ff6c88357fa80edc6aea85d1541e8610dcb855bfe22dcb417a31fb05fd230a,2013-06,Humberside Police,Humberside Police,-0.429198614584,53.7447062103,On or near Parking Area,E01013107,East Riding of Yorkshire 034E,No further action at this time
0b9abf90b3bf328e7e5b2c7316103260874c91d1f3472af02fe47e569a6e5707,2013-06,Humberside Police,Humberside Police,-0.188399699197,54.0852062041,On or near LANSDOWNE ROAD,E01012944,East Riding of Yorkshire 005A,No further action at this time
83fd2fffc66390a0aba3266eb3466dea301954aab1113549665e1228747ba815,2013-06,Humberside Police,Humberside Police,-0.200457834573,53.7588752503,On or near ALL SAINTS MEWS,E01013102,East Riding of Yorkshire 029E,No further action at this time
