Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
6272c1d7b5617932b5456c46d051ba3c2af9ebe3417c774b6ca83cb57377c858,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.18148033002,52.6425320467,On or near GREENCOAT ROAD,E01013726,Leicester 012D,No further action at this time
894e5a3f40185b738b892752bbe1c040ff52f676745c0a7b47f5fe5b165c18b2,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.18372012661,52.6532095624,On or near LEICESTER ROAD,E01013617,Leicester 004A,Suspect charged
c9b45d3d9f8a99ad38f84509bd790d28dff2edb315d84bf3b23699df73f67b3f,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.16388689433,52.6428677357,On or near BIDDLE ROAD,E01013725,Leicester 012C,No further action at this time
3e883792087707f90f9497e34aef43b6c02a90fa0c46ed1a78903d9b52993948,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.17060050402,52.6418810585,On or near PERTH AVENUE,E01013726,Leicester 012D,Suspect charged
7e7f33d3f96899357739d340bdd18f966c6eb50be7d4475e54e8a18e95844be5,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.15055123889,52.66295536,On or near CHURCHWARD AVENUE,E01013620,Leicester 004B,No further action at this time
e2170fff7f9718d5cd9bb46f884450d90205a3a1ce0a2315481c48d5bcb5c7f2,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.13208469698,52.6419918547,On or near Parking Area,E01013607,Leicester 008B,No further action at this time
cd0316b16f5148713d5ddf2d699c0fe0415cae2283b387cbac8b7d4ee0b7aaf7,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.16976368807,52.6642241942,On or near Pedestrian Subway,E01013617,Leicester 004A,No further action at this time
dc77a452679b01e0a99745b90600023aef7b27cd5249924c1b559dbf4c0d5ed8,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.15607144587,52.6419583007,On or near STEPHENSON DRIVE,E01013725,Leicester 012C,No further action at this time
b5948fc3e8d68bcf8251edf3cab6592a4f3d6133592ccb53f301d0535fc0ab0c,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.14328088843,52.646091827,On or near RAVENSBRIDGE DRIVE,E01013680,Leicester 008C,Offender given a caution
8f89d25217c0aa9cbe18630c9a6807e56a6f6ef66344e23b0d0415da4ce674a2,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.16689282064,52.6441205257,On or near PINDAR ROAD,,,Offender given penalty notice
2f9d0ff42be511b326c016740482ddc9cc10009dbc31172838f95550d0ddaf31,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.13136009555,52.6367903351,On or near Haymarket,E01032867,Leicester 041A,Suspect charged
1d969d1af32826499ffc64849190ca5fdb24bfff71563c2261f6427e112eb9ff,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.13191356186,52.6386912775,On or near Nightclub,E01032867,Leicester 041A,No further action at this time
840def7fe72c4325ea1f70157bd8c49804524c86f125d466009339522d833525,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.11283050387,52.6338212312,On or near BREEDON STREET,E01013745,Leicester 017G,Local resolution
5003cb4c8a90f3c7fce12db1ad199782b96b8384cc61e1d4dd54bd8bf4714218,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.06714182558,52.6269076813,On or near SPENCEFIELD LANE,E01013672,Leicester 025E,Suspect charged
3f140400bb784f3398212af619debdb569445528cb901b8b1fb7582239d0324c,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.06749230533,52.6375276738,On or near AMYSON ROAD,E01013773,Leicester 013E,No further action at this time
3b5fa7ea8b7d9a660ddb325514061fa2850d08801891cd874dee6362cd990b9d,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.1022722588,52.6371039891,On or near LONDON STREET,E01013659,Leicester 017E,Suspect charged
cf01c3c3f77666283a2d68d151f344797608a31b8229c5abfd3d2c08507cb653,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.14487227774,52.5917497334,On or near LITTLEJOHN ROAD,E01013674,Leicester 036B,Suspect charged
f5e56da73d13ffafffb77ee30573b23207d9909ea7a96354d464d6484ddbef0a,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.13394413742,52.6121856193,On or near THACKERAY STREET,E01013688,Leicester 031D,No further action at this time
4320a95256a76ddb2fdebae1e41f9389009e2df0fe38153169aa6b4b8ed7eb9d,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.10125598032,52.6167428749,On or near FRANCIS STREET,E01013710,Leicester 030F,No further action at this time
56ee51083bbc81d92e77697c9f6b6395cf757c4f89fd33cf76e80bbdfdede85a,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.14149963057,52.6200529227,On or near Leicester City Football Club,E01013687,Leicester 031C,Offender given a caution
be7a64b8eb32b438cd105d9033d688fcabbe340adf7720bafdd58849104288c6,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.15484572719,52.5866700063,On or near GRANGE DRIVE,E01013676,Leicester 036D,No further action at this time
655ae0498a072d02f484b5397d12354d4940467a9e1b3262aaf721031dd1dfe9,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.13926059842,52.5986404207,On or near MELLAND PLACE,E01013693,Leicester 035E,No further action at this time
1ecd5eb27668fda28cf6cc0faf236e7e3ef46d3555141a5fd97150750f5b7be0,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.15358590223,52.5930709143,On or near HOWDEN ROAD,E01013675,Leicester 036C,No further action at this time
2cb8e995f61d26ec5feb4e151d1caf40a22d26a42dfb34ddb819e4bb97448bd6,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.12623600848,52.5928274067,On or near AYLESTONE LANE,E01025985,Oadby and Wigston 006A,No further action at this time
9a63b7f215c7d5e849c1d46ddb480a883786c2b96a9fbf9782b3b90285c79a46,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.1464032062,52.5927316989,On or near KEPSTON CLOSE,E01013673,Leicester 036A,No further action at this time
4baa7e69121058b007bba600614bdc45d7a568e5bdc44df1060f0409a027c1c7,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.14185547028,52.5920245911,On or near ALLENWOOD ROAD,E01013674,Leicester 036B,No further action at this time
048f2a0fbffaa4ba177e0d36bc333c3a714bee5bf68c40dfa187132d9604e478,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-0.917982857688,52.4776238883,On or near Parking Area,E01025798,Harborough 009A,Suspect charged
dd9533d8c241b3bf60c868308e459eefc7ed69d59441a3e521410747d152255c,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.21245964302,52.4561439942,On or near FIRTREE AVENUE,E01025791,Harborough 010B,No further action at this time
13d0c9a751a085968ec4709e5e1cffe9f2580d3f9f64430ab3673b28991eba1c,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.25674262773,52.4866733608,On or near ORCHARD WALK,E01025816,Harborough 006D,No further action at this time
7990f04384a6ea514836a76891f475119db05c13e817cf9abdff6e6d357bcd36,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.18505293453,52.6093297238,On or near STAPLEHURST AVENUE,E01025636,Blaby 005A,No further action at this time
7f95a657a980a3f5eae0108651c9984940e5b7e5d1b0a286ee021edc0563787f,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.1748923213,52.5724002785,On or near MILL HILL CLOSE,E01025647,Blaby 009C,No further action at this time
b13060d42ab2fb85b3dd59322a5828e86ffb17d82283b69e741a2db9b969972e,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.20378252329,52.6514491388,On or near Petrol Station,E01025622,Blaby 013A,No further action at this time
c41cb0c7c930278fd945992186405d04a7d884e1d6de21d43a6c75635aac4c97,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.19626389553,52.5825801042,On or near PACKHORSE DRIVE,E01025627,Blaby 006C,No further action at this time
414e48afb39b3c47908c6bf612238c3a7381324098a0957b3b7fd1aa1a1d4039,2013-06,Leicestershire Constabulary,Leicestershire Constabulary,-1.23919552436,52.5860910104,On or near M69,E01025645,Blaby 003E,No further action at this time
