Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
7ea0256058d955b880fbec78e5eff07e44686e8686b89220422f3e96d98c6941,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.30128303537,52.6291860895,On or near Nightclub,E01033438,Norwich 014A,Suspect charged
dc7d91f1f3eceff68e9d6b650bfcae96c79a6f5f4c86ee6dd7581713942ca0cd,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.28851096999,52.6311334974,On or near ST BENEDICTS STREET,E01026823,Norwich 007B,Suspect charged
c2917ebb059d0c8ee7a06f008faf81a0953d0ddca2fa7d9184a28c05a640aa81,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.929391188005,52.6636668953,On or near PETERS CLOSE,E01026434,Breckland 005F,Offender given a caution
75970acb0693208d68b441e3a24d0b02388f070fad293fa4195002797bc3f32b,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.32612118449,52.6355058065,On or near SUPPLE CLOSE,E01026808,Norwich 004F,Local resolution
6788e5bd216b3d939f718c6570ae8a0dca4ccdcc2a03ff838818e727d34be688,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.70037370027,52.5720284958,On or near BUTTERCUP DRIVE,E01026586,Great Yarmouth 013B,Suspect charged
1202935d5b7abef02d522e4254939c219a46b9fd96b659bc2d6adff6832d5eea,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.72169438145,52.6061871731,On or near BRIDGE ROAD,E01026635,Great Yarmouth 007D,Suspect charged
f4fa966d16b1f1aed715649994b4660315538a4ad4f08c55e5783b09f5306465,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.28500048799,52.610131928,On or near TUCKSWOOD LANE,E01026820,Norwich 013E,Suspect charged
b1f7a0d03b27bb659375a69ed871fe6d11e0462942764634a41bb653e53e8895,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.31109659199,52.6565584988,On or near TERENCE AVENUE,E01026555,Broadland 012C,Offender given a caution
495b672e1e732e920fc63b46f6c242d2bd1a8a4bbe8d5de287854ab051196e9b,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.857451005161,52.9520771395,On or near BLUEBELL GARDENS,E01026764,North Norfolk 002C,Suspect charged
bada274308a425c352e0a77ed099dda2dcc8749315a1aca5f102e7b69f0c6076,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.73176098563,52.6109341061,On or near FACTORY ROAD,,,Offender given a caution
93aa72ee2b2530b21c4525e6665dd1d1140a9e266fe230cdd542172529e31182,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.30557376454,52.6168978987,On or near THE LOANING,E01026817,Norwich 013B,Offender given a caution
83e355dfd80a53cac85a1ff1b56b5136985540070af5db43b6ce58fb28e58c15,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.497444811402,52.9096046076,On or near VICTORIA CLOSE,E01026676,King's Lynn and West Norfolk 003A,Suspect charged
bdf4e4dfdfafb8868cb5bac03f5f675b3a511b83b8eae7b9b16196f8a5f9ad8c,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.755766270667,52.446239552,On or near CHURCH AVENUE,E01026493,Breckland 012D,Suspect charged
21977c41999ab2eb30e305271c10df07ebadde507ce66a23dcadfd7e51125f91,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.420949956813,52.7520736533,On or near AILMAR CLOSE,E01026666,King's Lynn and West Norfolk 009A,Suspect charged
4120b4c930bf9c76c9e9900fd9cb7b42b9de7d37a513920b5ddc98336512f900,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.11143111343,52.569199475,On or near CHANDLERS CLOSE,E01026870,South Norfolk 005A,No further action at this time
aa5bd99918a7f6e245a10a4a281c783922936e89693f6990f924ea23c7699294,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.411337839918,52.7511006076,On or near MOUNT STREET,E01026667,King's Lynn and West Norfolk 009B,No further action at this time
c0ad7f79d4303ff322914aa7da9ad9a29e3f982f91e9ff671f1d02afb921dedf,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.30264121791,52.6289683272,On or near PRINCE OF WALES ROAD,E01033438,Norwich 014A,No further action at this time
c592e74c16f71002d267059cb5bde3317ce66b0e70b5bb04f541d7aab7ccac01,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.410091114423,52.7639480588,On or near COLUMBIA WAY,E01026687,King's Lynn and West Norfolk 007A,No further action at this time
0b75c76f1f65e349dc599e5a76f0bd36b70b68e59a501d70940c31bd8d10b401,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.29590206683,52.6266199675,On or near Shopping Area,E01026822,Norwich 007A,No further action at this time
20482a5ccd33492cc2c21760de67e89b2a606dd693d50b2ecc12110ae959af08,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.556183342299,52.4613617853,On or near NURSERY LANE,E01026648,King's Lynn and West Norfolk 019A,No further action at this time
1f81a6000adbe5005400edf320db2bd607b926b8e7bfc38ceda30104b8de9214,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.26140907993,52.6046058359,On or near ELSTEAD CLOSE,E01026813,Norwich 012D,No further action at this time
fa9588c17981f2676d88696f120a4312b50e0f532ded422b560f830b071d03c0,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.740411109272,52.9499703588,On or near MILL ROAD,E01026646,King's Lynn and West Norfolk 002B,No further action at this time
e60a28c2ad3b2b8c12f4d19fb5beba7eb77f0a79b370d8a9719122ef5cba6325,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.72225374118,52.5847530589,On or near BECCLES ROAD,,,No further action at this time
2782ff449aaa657716946c36e39e3b0fee5f2fbbf583f303d8f6a69d4912737b,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.73049701929,52.5988580137,On or near CAMDEN ROAD,,,No further action at this time
5d1ba12513b8cb92f3c8f2857934464eeadf99428ff5c0a089c6976443ec39b9,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.73049701929,52.5988580137,On or near CAMDEN ROAD,,,No further action at this time
0ae130bee97316063284acbb9a1bff2cc0099f20e58e3af383605d5a62f4fb7b,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.41119522335,52.7477136486,On or near HOLCOMBE AVENUE,E01026667,King's Lynn and West Norfolk 009B,No further action at this time
4761b9a289a9f4f03bf24594b2858ad6f1e89ff6a468e67cd2fa38bf3b3ab61e,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.73163972954,52.6018712006,On or near WELL ROAD,E01026624,Great Yarmouth 006C,No further action at this time
8c0023933c3c58380cae26e8d2864dc87dbdce61bbc3ecce42c2fe60e10745a7,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.28000047136,52.6258475591,On or near SOMERLEYTON STREET,,,No further action at this time
cf67d2204313398f4948ad3cb1d5974acf4ae3d72566e1810029a0e43391a494,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.688632324408,52.6487304311,On or near LYNN STREET,E01026455,Breckland 007A,No further action at this time
8e497b32fc6f60a2f41f6c96f1ca090c72973539b470ff40a625254f4127bc53,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.899462216644,52.6988364267,On or near Park/Open Space,E01026452,Breckland 004B,No further action at this time
2d63a3f6a2ae82f84e06460d49d125967972294c1187bc8e8bd4b2dcfd8fd702,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.72887965685,52.6159720757,On or near VICTORIA STREET,E01026595,Great Yarmouth 005A,No further action at this time
7032faaa30d5e13fcb9e54ac7ea97d68496fc1aca09d0137a30b8a317f6a94fd,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.406638756778,52.7618242132,On or near LOSINGA ROAD,,,No further action at this time
45087bb89e634c56b40fd5aa8af05798e007e38cd34e10fb6905cd8e3bdb3bae,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.735960224735,52.4199375185,On or near LINCOLN WAY,,,No further action at this time
39d6538117b51d1aa4ebe1db570c2bcb5c88b0e59d3f81492e73dc84af536e44,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.73176098563,52.6109341061,On or near FACTORY ROAD,,,No further action at this time
6e7e5c3f0e23aa8307af574054f93ce2983f2cde9ad737599f11ac6102f34fb4,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.417952253396,52.7560102349,On or near KING JOHN AVENUE,E01026668,King's Lynn and West Norfolk 009C,Suspect charged
d447d302253efe2a0266d03d23a9e2372bd73910193fe7d3e6aefbbe857bfbf8,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.08837571737,52.9072316224,On or near Parking Area,E01026743,North Norfolk 004C,Suspect charged
0df80e7e81be98d2d51bf7c1fe6cacb7bbaaae9795517ce9f3e44694abc01e0b,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.30246611661,52.6246832364,On or near ABBEY LANE,E01033441,Norwich 014D,Suspect charged
f979e756450ba169faa8b3aa0331fe1e8d0e06861fd272e94ad0733395b670d8,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.420949956813,52.7520736533,On or near AILMAR CLOSE,E01026666,King's Lynn and West Norfolk 009A,Suspect charged
43d2391b220c2f60e11fedcaa871a9f80ea1ab7e5c8fbf13ecbb8563d1f20cec,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.24114051689,52.621180175,On or near Pedestrian Subway,E01026860,Norwich 010C,Suspect charged
5644ee3e4898726d4a95639ba32caf90b78e480b7ab47da5b4f1e6c0986e14f6,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.34452441858,52.7599006216,On or near Prison,E01026768,North Norfolk 012C,Suspect charged
69ef29afc2fdc39798152d50f7017ea3f518cbacd54e6ae66b7c5b21bfb1f205,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.31759936438,52.6375616849,On or near Prison,E01026806,Norwich 004D,Suspect charged
0764b47f6c5656250ee7d3c57862bcfec7414c15d7663e2c98075117cf7644cb,2013-06,Norfolk Constabulary,Norfolk Constabulary,0.419180313123,52.7546364345,On or near QUEEN MARY ROAD,E01026668,King's Lynn and West Norfolk 009C,Suspect charged
d13c163497a23aa391103ea3dcaee68188acd3f7b56be9c86caa85a7ef62e7af,2013-06,Norfolk Constabulary,Norfolk Constabulary,1.69231307896,52.5730809587,On or near ST NICHOLAS GARDENS,E01026585,Great Yarmouth 013A,Suspect charged
