Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
fd9516096db60aee0bfdbc489a40e90f5a132804ee925e886eff46fea1d3d5e9,2013-06,Northamptonshire Police,Northamptonshire Police,-0.72578385572,52.3992632001,On or near ANGEL YARD,E01027110,Kettering 007B,Suspect charged
5c9d4245e6d4acd412658d7f265aa1eaa793e16caaa6de3b6b6bee8591cd11fa,2013-06,Northamptonshire Police,Northamptonshire Police,-0.717213494177,52.3054782004,On or near Supermarket,E01027342,Wellingborough 005D,Suspect charged
3389d9467541f1f895274af8f571736c3381d120397c9ddf1b899a4645f33290,2013-06,Northamptonshire Police,Northamptonshire Police,-0.612056831767,52.2883755489,On or near HIGHFIELD ROAD,E01027072,East Northamptonshire 008E,Suspect charged
313e31ef497cc3ae19dbbf7e44232ad8765b810459ffe7f5caf52f77c5d71fce,2013-06,Northamptonshire Police,Northamptonshire Police,-0.840815195196,52.2722134027,On or near FARM FIELD COURT,E01027248,Northampton 004D,Local resolution
6602176f158e0b4edfa7325aa444728fb6daf17d89f90ec7fc122e7e541c0a87,2013-06,Northamptonshire Police,Northamptonshire Police,-1.13895611093,52.0282199715,On or near CAESARS GATE,E01027265,South Northamptonshire 009A,Local resolution
252c18da2473245c165eee68db0c20d2fdffcd42c35c6c6c2cab07fa734e2c8f,2013-06,Northamptonshire Police,Northamptonshire Police,-1.16774063464,52.2526191171,On or near WESTERN AVENUE,E01026992,Daventry 007D,Suspect charged
81e2bcdd058e8a1ce4ae0c8f6e0981f45b711cf0e03803ee2b40b2336bee49d1,2013-06,Northamptonshire Police,Northamptonshire Police,-0.87039013419,52.2382093123,On or near Sports/Recreation Area,E01027257,Northampton 025D,Local resolution
6db001cae2bd614480fac9bc17c653d8109e0d1a97b5e4caa8c5657eb6c14bdb,2013-06,Northamptonshire Police,Northamptonshire Police,-0.89796153794,52.2584922374,On or near KINGSTHORPE GROVE,E01027229,Northampton 009B,Suspect charged
17bc30c1bb3708457218d25e0d952cd4159b7e53757ceba1591a36fb26b8b0c0,2013-06,Northamptonshire Police,Northamptonshire Police,-0.898074896613,52.2385428726,On or near BRADSHAW STREET,E01032979,Northampton 021F,Local resolution
4299a08b97114fe49be6374f2e08dce0202391caec4083ead975468b54f1a3e0,2013-06,Northamptonshire Police,Northamptonshire Police,-0.704493319588,52.2794727906,On or near THE RIDGE,E01027329,Wellingborough 009E,Suspect charged
18b8068056b5fd4a76a237d138ef9b7d8bd6e8d0dae1e3f47245265d04f04cdb,2013-06,Northamptonshire Police,Northamptonshire Police,-0.717922288089,52.4853620223,On or near THORESBY COURT,,,No further action at this time
17ac8bed5ce42fe5c45cd9ed96a44b8cab6ae633d351240255e51d19d527c5d4,2013-06,Northamptonshire Police,Northamptonshire Police,-0.585354873146,52.2921585996,On or near SLATERS CLOSE,E01027058,East Northamptonshire 009A,No further action at this time
7376b27c77a5329e745394b73c4572e5c68ab6a6e830269ff72b6ecd9c4e6b5c,2013-06,Northamptonshire Police,Northamptonshire Police,-0.720001169759,52.4837572431,On or near HALIFAX SQUARE,E01026961,Corby 006C,No further action at this time
8f27c4ab9f7bc71f306aa4e2eb88d112f46a08152f97f268fe384d78a25b095e,2013-06,Northamptonshire Police,Northamptonshire Police,-1.16842573387,52.270038598,On or near CHARNWOOD CLOSE,E01026990,Daventry 006C,No further action at this time
ba4a7d8414473cfb93ac8b5a32b97ea781749a4ee8ed7f4b3516740a00391035,2013-06,Northamptonshire Police,Northamptonshire Police,-0.772785112205,52.2933376805,On or near NORTH STREET,E01027353,Wellingborough 009F,No further action at this time
8a706284c4e3338ca79a1dcb8206b78224f3462d2efb31b896d1abf2dc9e1020,2013-06,Northamptonshire Police,Northamptonshire Police,-0.697205222389,52.4857381044,On or near CROMARTY COURT,E01026950,Corby 005B,No further action at this time
95357c90f5e38934ecac56a7c38b3a68fe90771b3867364d769c4f12320fe456,2013-06,Northamptonshire Police,Northamptonshire Police,-0.723311530747,52.3886725075,On or near MANOR PLACE,E01027114,Kettering 009B,No further action at this time
d6f89bcba855834aa1e7c0c874cc5bc602b5fc35aad8bc5d286d42ecc81acbdc,2013-06,Northamptonshire Police,Northamptonshire Police,-0.805538854117,52.4388720594,On or near CHESTNUT DRIVE,E01027109,Kettering 002F,No further action at this time
c98506577c6ff550b52d900fa3e9242044d2e168232c4cf76073fcc856fe3f42,2013-06,Northamptonshire Police,Northamptonshire Police,-0.916029159999,52.2150993795,On or near OVERSLADE CLOSE,E01027162,Northampton 030A,No further action at this time
582e3e274024d615da7bb0466fcbba530490220d38dc74382ea380362c8e51cb,2013-06,Northamptonshire Police,Northamptonshire Police,-0.910382078636,52.3237897426,On or near SHELLEYCOTES ROAD,E01027000,Daventry 002A,No further action at this time
b1c5f2477629bd6ef53de69d954a83138fe9e7c1034bf30722c1314bf76b6eaf,2013-06,Northamptonshire Police,Northamptonshire Police,-0.829867621778,52.2744250523,On or near DONELLAN GREEN,E01027247,Northampton 004C,No further action at this time
5eaa7c56a1423ef0af6b8bdb7845226c1170ec388fe3a027e903ebd336756197,2013-06,Northamptonshire Police,Northamptonshire Police,-0.588931527181,52.2935769971,On or near LAWTON ROAD,,,No further action at this time
b2b405d3bb245ca111ad9f9cf929e2e58702a9992e8798e9539e0435daec0a53,2013-06,Northamptonshire Police,Northamptonshire Police,-0.727656862427,52.48484675,On or near FARMSTEAD ROAD,,,No further action at this time
1888c7ee2ea6fd2867c7f980f4e72e0ed04ab93b413ca9758e2a89b7b86f67b1,2013-06,Northamptonshire Police,Northamptonshire Police,-0.9133622368,52.2350163426,On or near ST JAMES' MILL ROAD,E01027238,Northampton 024D,Suspect charged
8d326fcc921abfd0e1f4459eda668fd9cce18a7d5ec806a2434f792b77d64533,2013-06,Northamptonshire Police,Northamptonshire Police,-0.719181242808,52.292687664,On or near Petrol Station,E01027309,Wellingborough 007A,Suspect charged
dcfc4633de69365d33c1d51842fa18e415c5eed413423d9bb65d7e2af0f0a306,2013-06,Northamptonshire Police,Northamptonshire Police,-0.897219095016,52.2358466496,On or near BRIDGE STREET,E01032979,Northampton 021F,Suspect charged
589a05360bc0d72a1523f6409423bbf5e08926e7854c6e3723d00f8dd8784f03,2013-06,Northamptonshire Police,Northamptonshire Police,-0.701412107669,52.4884095861,On or near EVEREST LANE,E01026949,Corby 005A,Suspect charged
6fe24c78b971aba15dfdf6010b7c852900a64ffb303f8ae831e9ac6f68c9f91f,2013-06,Northamptonshire Police,Northamptonshire Police,-0.898105314997,52.2461852819,On or near ADELAIDE STREET,E01027153,Northampton 021C,Offender given a caution
5f6bd14f2c2f7a78664a9ddbdfccd30876c7b5fe6543ff99c1dd3b6f1be26e69,2013-06,Northamptonshire Police,Northamptonshire Police,-0.90216523449,52.2484528002,On or near BAKER STREET,E01027152,Northampton 021B,Suspect charged
94d894d140fe2e9cc2bc3108bab0182c32da723afb5432c7df3ff8a521358404,2013-06,Northamptonshire Police,Northamptonshire Police,-0.921725212112,52.2416023027,On or near ROSEBERY AVENUE,E01027237,Northampton 024C,Suspect charged
c885a74c9be241d6142a58b63aea1336fcb0e20c127963fa4334762ee2b3aed3,2013-06,Northamptonshire Police,Northamptonshire Police,-0.70928423395,52.5022422235,On or near Supermarket,E01026970,Corby 002B,Suspect charged
4e3ada064c13627fae960ccb7b301917ae52054da16813bc571b4cf83229672d,2013-06,Northamptonshire Police,Northamptonshire Police,-0.719887180165,52.3836096922,On or near RICHARD CLOSE,E01027130,Kettering 009C,Offender sentenced as part of another case
408ea8f4126e2725fe00d100424900e896716539ede28801079a41741b9876b5,2013-06,Northamptonshire Police,Northamptonshire Police,-0.851036510804,52.2589350683,On or near DEBDALE ROAD,E01027182,Northampton 006C,Suspect charged
b08c9f3c071915c21dc7d64abaa1f4a4636cb009960018310c508fc9118023cb,2013-06,Northamptonshire Police,Northamptonshire Police,-0.837209141883,52.2705596196,On or near GREAT FIELD COURT,E01027249,Northampton 004E,Suspect charged
0aa07b12c664660d551749dfc1ac66e3da10f00fa2ff48173105e51ffc2702d7,2013-06,Northamptonshire Police,Northamptonshire Police,-0.892467165681,52.2432015504,On or near CHARLES STREET,E01027155,Northampton 023A,No further action at this time
44833815f1849f7b72bb3a0d427d5d21d1575fd9890702eb1b8cb4663b69edf3,2013-06,Northamptonshire Police,Northamptonshire Police,-0.869448616964,52.251057079,On or near PARK AVENUE NORTH,E01027136,Northampton 013A,No further action at this time
3095cbf884853ba7921ecdd58081cdea10db9640f766e715f1b183fcce91ff2a,2013-06,Northamptonshire Police,Northamptonshire Police,-0.71460939223,52.3072750239,On or near RYCROFT CLOSE,E01027310,Wellingborough 007B,No further action at this time
9e34e13bd4a657fe09e4a802dd6589f15ff6ace432291960f60f42c1464a33c3,2013-06,Northamptonshire Police,Northamptonshire Police,-0.603516429525,52.4022966912,On or near CHURCH LANE,E01027032,East Northamptonshire 003A,No further action at this time
6a876a8ede7180b9e0bb1c2e4274f94d3f57483bf4d9781dd83a6f3562eb3d2f,2013-06,Northamptonshire Police,Northamptonshire Police,-0.546569843439,52.3669866121,On or near BRAYBROOKE CLOSE,E01027057,East Northamptonshire 004A,No further action at this time
