Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
894faaf27546f1041477503bf555ef87936ed4f3d3390198ab91abd9017c1445,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
c971f33d60c907b11462cdbd447ef78de0cbd3de097d0bc6842f5373c24221bf,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
337c9fa6407439d8a4109e52527a458d87896f69dd4aa1410e9403a7e735edcc,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
1d22b4a9b7ca2916268275abc23e6fecfd0adaa5266b4bf752fc50161d3967bf,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
386a029cb6018239402cabbd7107338146ec0f2ed3484f73e8f4f58cb9a06bb1,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
86bf8e61f23acc9221b7f90dfd2d6f82126baa0bdeed455166c007de64e7f028,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
3f79b859d4f5e485788ea0d47521e118b25897429f5a02b08ba9e4476aa6f3c1,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
6b5da4cbceb4843d06f91b477755619089abd1556c9f6a8bebd22383a1dd5968,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
cbb8ed48210a34b73c99baf358b200f067b9d593f08455eef5374c904405e8a7,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
b395e2735e1bd61693008b3bc946cfa5700f998a0add391e31e15a254d2f2f17,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
ee32bedb214cf5550b042f0e14689dd6c6f98cc4e96c64ed50b494c999bd8ab3,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
7e40d171fa2024d6550817256fa1f9832197dc0d17dfd6f4a1ffedb618df4caf,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
7c86fa714c4298d1f585c2475c05765ac079a4af6a949ac0a51a94e17d3ccf0f,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
e9896f5535994c1817425392356a70b580f9bce6d0ebb3b9bf2de45f72cd7cb5,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
d5b5430030bc8a502afd50ccb883deb07108af0c2fdc1c770dd8ff01125c3d38,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
a3a60aa6a92d00481ee0935f5b135be82f8f5cd22e0b9c2d64d173139ca88530,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
313ed2c908c09d9da1ae1385fb18aa762d674ab6b79b954d015ae3c952f77f0a,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
0d05eb156c654788d07f55c8dab0beda8043305b1dc23256d0c0d3227b31d9ee,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
9cb6952fac2a560d6e5c188b8a50c1b7ae29bf5c9684bc4684ed17969db3ef0d,2013-06,Staffordshire Police,Staffordshire Police,-2.17777778737,53.0175387684,On or near CLEVELAND ROAD,,,No further action at this time
196e0b11d4fbbe134e5e100381adeb279b0938e1c032aea9192dfae04713b84b,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
c6ab2b60c9b7217423d60fc71639f3caae872ff3d8dacddf161824ffd5c9f15c,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
b9817ea5e0c06da3511aed5fb1c5e4622992b18706e735e48baf9be0aacf4f76,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
12531ef09714f6176fe27458ca7c961e1c877878f85d935dced04670797db47b,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
e67666bc34686c6731b284b09c6026f205b98439a2503b749be923030c90cfdc,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
50130e0023184fa6b03aaef9f21ba9a92633c0502664e3076e07429659e1971f,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
e814f1b9b4b314a95eccb17ce8eaf10192bdc217028a0673b69a87fc15863dda,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Offender given a caution
a6a4c1580271cb0d0df80770a7ab932ec0ee2b282e3fbc1296767b1ca4872bff,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Local resolution
976af4d6740b6cc865b7a45995ea0b4724ae13603f8be0d9c31770e069570916,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,No further action at this time
8f17bab97aff8a9db96d5c0f5b5d9674a0539a48b178582caf59e38a94c53d3a,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
58c090df4d8e456241ac72ded3a0b150fe5a17b561c75a85a1d6d6aeeb1333e6,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
c0d2b1a816d31006755fe69067677031cdb3b485d479dd0e215f87b01bb49125,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Unable to prosecute suspect
f4897fcdacaa2f4f88302d9953a5823047c73f5be9ce962ac92586754e9cc3a6,2013-06,Staffordshire Police,Staffordshire Police,,,No location,,,Suspect charged
4998b5793abe0be4498a45f379e3257099586fc482e47cae34e073f9491938f1,2013-06,Staffordshire Police,Staffordshire Police,-2.16971571126,53.0257127045,On or near LINDOP STREET,E01014330,Stoke-on-Trent 013E,Local resolution
