Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
3fb953141f34fa8d1ee5a86c41c45dceff1d4c16a92286646fcd22ee4ed60c06,2013-06,Wiltshire Police,Wiltshire Police,-1.86608242097,51.6598278218,On or near UPCOTT,E01031935,Wiltshire 001C,No further action at this time
214058e1595b2d2d942907aa0fd02d058ab1aad8184701c50064549ce794926d,2013-06,Wiltshire Police,Wiltshire Police,-2.18057598942,51.2045659838,On or near Shopping Area,E01032103,Wiltshire 044A,Suspect charged
3859367688c5eda7b95aff4ff6a4bb01862a4d6c5846425314458623a491176e,2013-06,Wiltshire Police,Wiltshire Police,-1.79083313038,51.5532159867,On or near KINGSHILL ROAD,E01015498,Swindon 021B,No further action at this time
5545e10ff2123370132f4ef0166abd9475826615bd338b8f82aa709ade243684,2013-06,Wiltshire Police,Wiltshire Police,-2.12249330623,51.3723383032,On or near QUANTOCK CLOSE,E01032073,Wiltshire 020D,No further action at this time
2855f8e17ffd20bc6a3349a36e3cbcc1c63001eff4f94eb2dbe3d3bde1f8d034,2013-06,Wiltshire Police,Wiltshire Police,-1.78077142199,51.5550678543,On or near NORTH STREET,E01015497,Swindon 019D,No further action at this time
aa6eaf954c1c3c0b2e4e35bd48861f1ba8d37224f00e67c3570fa5d90fa03dd3,2013-06,Wiltshire Police,Wiltshire Police,-1.79545442234,51.0704651495,On or near CHIPPER LANE,E01032014,Wiltshire 056A,No further action at this time
ea4c078195f89bdfaaecfaccec0c9bd5f975a6aa95bfbaefa9c0b971208142e4,2013-06,Wiltshire Police,Wiltshire Police,-2.19263893126,51.2002755518,On or near ALCOCK CREST,E01032114,Wiltshire 044D,No further action at this time
42348657f2c2815a07c827bbdb198bfe7b34e9db31146378072ec5e6d9aa2754,2013-06,Wiltshire Police,Wiltshire Police,-1.78505101903,51.5957796556,On or near LYNEHAM CLOSE,E01015545,Swindon 003C,No further action at this time
64d442aad324f44657d46bbc1a7e16c195f5a355bcac4b60c0ab8a3877c0a0e1,2013-06,Wiltshire Police,Wiltshire Police,-1.76099577863,51.5855460093,On or near MEADOWCROFT,E01015558,Swindon 005D,No further action at this time
ad4e4072e9d83c64cae3fc4303321cfc7efbdaf7d3fb7a815844608d63382162,2013-06,Wiltshire Police,Wiltshire Police,-1.76917983883,51.5883137212,On or near FOXLEY CLOSE,E01015555,Swindon 005A,No further action at this time
6ae14f7c11dabfb3e6fe16fab24f750ab3fd781a09c23c44b20d211e4966f489,2013-06,Wiltshire Police,Wiltshire Police,-2.12143348213,51.471040083,On or near OAKLANDS,E01031914,Wiltshire 009C,No further action at this time
9463cf7feacfc1ee1e46e9b0d1b89b776d878549084d9040d4b25c03fe8ec797,2013-06,Wiltshire Police,Wiltshire Police,-1.80387892362,51.0763334466,On or near ASHLEY ROAD,E01032024,Wiltshire 055D,Suspect charged
